domain,creation_date,expiration_date,lock_state,privacy,status,hosting_plan
designtogo.com,2006-02-13,2025-08-12,1,1,active,Basic
digital-technology.net,2002-12-01,2025-12-01,1,1,active,Basic
digital-technology.org,2001-11-25,2025-12-11,1,1,active,Basic
digitalaudioradio.com,2001-11-25,2026-01-07,1,1,active,Basic
digitalaudioradio.net,2001-11-25,2026-01-07,1,1,active,Basic
digitalbusiness.org,2001-11-25,2025-12-02,1,1,active,Basic
digitalcable.net,2001-09-04,2026-05-10,1,1,active,Basic
digitalcellular.net,2001-09-04,2026-04-08,1,1,active,Basic
digitalcraft.com,2001-09-04,2026-05-10,1,1,active,Basic
digitalcraft.net,2001-11-25,2026-01-03,1,1,active,Basic
digitaleffects.net,2001-08-14,2025-10-16,1,1,active,Basic
digitaljam.net,2001-11-25,2025-12-25,1,1,active,Basic
digitalphones.org,2023-07-30,2025-11-04,1,1,active,Basic
digitalpower.net,2001-09-04,2026-03-25,1,1,active,Basic
digitalpowerline.com,2001-09-04,2026-03-24,1,1,active,Basic
digitalprojectors.net,2001-08-14,2025-08-27,1,1,active,Basic
digitalreader.net,2002-06-11,2025-06-11,1,1,active,Basic
digitalsecurity.net,2001-09-04,2026-04-17,1,1,active,Basic
digitaltech.org,2001-09-04,2026-05-20,1,1,active,Basic
digitaltechnology.biz,2006-02-07,2026-02-06,1,1,active,Basic
digitaltechnology.com,2001-09-04,2026-03-09,1,1,active,Basic
digitaltechnology.net,2001-09-04,2026-05-19,1,1,active,Basic
digitaltechnology.org,2001-08-13,2025-09-21,1,1,active,Basic
digitaltelephone.net,2001-09-04,2026-03-04,1,1,active,Basic
digitaltelephones.net,2001-09-04,2026-03-04,1,1,active,Basic
digitaltelevisions.com,2001-09-04,2026-04-17,1,1,active,Basic
digitaltelevisions.net,2001-11-25,2025-12-25,1,1,active,Basic
digitaltrade.net,2001-11-25,2025-12-05,1,1,active,Basic
digitaltrades.com,2001-11-25,2026-01-21,1,1,active,Basic
digitaltvs.net,2001-09-04,2026-03-28,1,1,active,Basic
digitalvideos.org,2005-01-09,2026-05-10,1,1,active,Basic
disintermediation.net,2004-02-15,2026-02-15,1,1,active,Basic
dogquest.com,2006-02-13,2025-08-08,1,1,active,Basic
dropquest.com,2009-11-13,2025-09-10,1,1,active,Basic
dtvs.com,2001-09-04,2026-03-24,1,1,active,Basic
dvdtv.net,2001-11-25,2026-01-17,1,1,active,Basic
e-tail.net,2003-10-25,2025-10-25,1,1,active,Basic
earthseek.com,2005-10-20,2025-07-29,1,1,active,Basic
eateries.net,2024-08-03,2025-10-15,1,1,active,Basic
ebots.net,2001-11-25,2026-01-02,1,1,active,Basic
ecliner.com,2003-02-06,2026-02-06,1,1,active,Basic
ecologicaldesign.com,2007-01-15,2026-04-02,1,1,active,Basic
econnections.net,2001-08-14,2025-09-19,1,1,active,Basic
ehead.net,2001-08-14,2025-11-16,1,1,active,Basic
ejam.net,2001-09-04,2026-03-25,1,1,active,Basic
electroholographics.com,2002-01-31,2026-02-16,1,1,active,Basic
electrolic.com,2009-01-10,2026-01-26,1,1,active,Basic
electronicfiling.net,2001-09-04,2026-03-25,1,1,active,Basic
enterprisemanagement.net,2002-06-23,2025-06-03,1,1,active,Basic
enterprisestorage.net,2001-09-04,2026-02-17,1,1,active,Basic
epills.net,2002-05-27,2026-05-24,1,1,active,Basic
equityquest.com,2007-01-15,2026-03-19,1,1,active,Basic
etail.net,2001-09-04,2026-03-24,1,1,active,Basic
etravel.net,2001-08-14,2025-09-28,1,1,active,Basic
eurocrats.com,2005-10-20,2025-07-27,1,1,active,Basic
eurodigital.com,2001-09-04,2026-04-17,1,1,active,Basic
eurowireless.com,2001-09-04,2026-03-21,1,1,active,Basic
evacations.net,2001-11-25,2026-01-11,1,1,active,Basic
every-where.com,2001-09-04,2026-04-04,1,1,active,Basic
exquest.com,2009-01-10,2025-12-07,1,1,active,Basic
eyed.net,2001-09-04,2026-05-25,1,1,active,Basic
eyescan.net,2001-09-04,2026-05-18,1,1,active,Basic
ezfuelcell.com,2006-02-13,2025-09-17,1,1,active,Basic
ezfuelcells.com,2006-02-13,2025-09-17,1,1,active,Basic
ezst.net,2001-11-25,2025-12-25,1,1,active,Basic
fashionquest.com,2009-11-13,2025-12-13,1,1,active,Basic
fiber-optics.net,2001-09-04,2026-03-28,1,1,active,Basic
fibernetworks.com,2001-09-04,2026-02-08,1,1,active,Basic
fiberopticnetwork.net,2001-11-25,2026-01-21,1,1,active,Basic
fiberopticnetworks.com,2001-09-04,2026-02-09,1,1,active,Basic
fibersolutions.net,2001-09-04,2026-04-07,1,1,active,Basic
fibersystems.net,2001-09-04,2026-02-28,1,1,active,Basic
fibre-optic.net,2001-11-25,2025-12-11,1,1,active,Basic
fibre-optics.net,2001-11-25,2025-12-11,1,1,active,Basic
flatpanels.us,2002-05-20,2026-05-19,1,0,active,Basic
flatscreen.net,2001-08-14,2025-09-19,1,1,active,Basic
fleetquest.com,2007-01-15,2025-06-14,1,1,active,Basic
frasier.net,2001-11-25,2026-01-07,1,1,active,Basic
freakoff.net,2024-09-17,2025-09-17,1,1,active,Basic
fuelcell.net,2001-09-04,2026-02-28,1,1,active,Basic
fuelcellflashlight.com,2007-01-15,2026-04-10,1,1,active,Basic
fuelcellgenerator.net,2019-09-20,2025-09-20,1,1,active,Basic
fuelcellgenerator.org,2009-11-14,2025-11-07,1,1,active,Basic
fuelcellgenerators.net,2019-09-20,2025-09-20,1,1,active,Basic
fuelcellgenerators.org,2009-11-14,2025-11-07,1,1,active,Basic
fuelcellindustries.com,2011-01-05,2026-01-06,1,1,active,Basic
fuelcellmarket.com,2006-02-13,2025-11-25,1,1,active,Basic
fuelcellphone.com,2016-07-02,2026-01-19,1,1,active,Basic
fuelcells.net,2001-09-04,2026-02-28,1,1,active,Basic
fuelcelltech.com,2018-05-03,2026-03-10,1,1,active,Basic
fuelcellvehicle.org,2011-01-17,2025-08-22,1,1,active,Basic
furbies.net,2001-11-25,2026-01-10,1,1,active,Basic
gamerbot.com,2011-01-05,2026-02-18,1,1,active,Basic
gammaknife.net,2001-09-04,2025-07-16,1,1,active,Basic
genetic-engineering.org,2001-09-04,2026-03-04,1,1,active,Basic
geneticengineering.com,2001-09-04,2026-03-15,1,1,active,Basic
genomic.net,2001-09-04,2025-07-16,1,1,active,Basic
genomictech.com,2001-09-04,2026-04-08,1,1,active,Basic
genomictech.net,2001-09-04,2026-04-08,1,1,active,Basic
geotherms.com,2011-01-05,2026-03-11,1,1,active,Basic
globalimaging.net,2001-11-25,2026-01-10,1,1,active,Basic
goldingfamily.org,2006-02-15,2026-02-15,1,1,active,Basic
goldings.net,2022-10-28,2025-10-28,1,0,active,Basic
greenfive.com,2011-01-05,2025-06-26,1,1,active,Basic
greenlogic.org,2011-01-05,2026-02-03,1,1,active,Basic
greenspam.com,2011-01-05,2026-04-15,1,1,active,Basic
h-power.com,2003-05-06,2026-05-06,1,1,active,Basic
hdisc.com,2001-09-04,2026-04-22,1,1,active,Basic
high-quality.com,2001-09-04,2026-04-08,1,1,active,Basic
hiptronic.com,2005-10-20,2026-04-29,1,1,active,Basic
hires.net,2001-08-14,2025-10-08,1,1,active,Basic
holodisc.net,2002-03-10,2026-04-19,1,1,active,Basic
holodisc.org,2001-09-04,2026-04-19,1,1,active,Basic
holodiscs.com,2001-09-04,2026-04-19,1,1,active,Basic
holodiscs.net,2001-09-04,2026-04-19,1,1,active,Basic
holographicdisc.com,2001-09-04,2026-04-19,1,1,active,Basic
holographicdisc.net,2001-09-04,2026-04-19,1,1,active,Basic
holographicdiscs.com,2001-09-04,2026-04-19,1,1,active,Basic
holoimagery.com,2011-01-05,2026-02-10,1,1,active,Basic
holomapping.com,2011-01-18,2026-02-10,1,1,active,Basic
holotronics.com,2001-09-04,2026-04-19,1,1,active,Basic
homebroadband.net,2001-08-14,2025-11-28,1,1,active,Basic
homedigital.net,2001-11-25,2026-01-26,1,1,active,Basic
houseweb.net,2001-08-14,2025-09-19,1,1,active,Basic
hrom.com,2002-03-10,2026-04-19,1,1,active,Basic
humangenome.net,2001-11-25,2025-12-25,1,1,active,Basic
humangenomeproject.net,2001-11-25,2025-12-25,1,1,active,Basic
hydrodyne.net,2004-02-15,2026-02-15,1,1,active,Basic
hydrogenage.org,2009-11-14,2025-10-26,1,1,active,Basic
hydrogencycle.com,2009-11-14,2025-10-06,1,1,active,Basic
hydrogendesign.com,2011-01-17,2025-10-14,1,1,active,Basic
hydrogenelectrics.com,2009-11-13,2026-01-11,1,1,active,Basic
hydrogenelectrics.net,2009-11-13,2026-01-11,1,1,active,Basic
hydrogenerator.net,2023-07-30,2025-10-31,1,1,active,Basic
hydrogenfuelcell.org,2016-07-02,2025-11-03,1,1,active,Basic
hydrogenfuelcells.org,2016-07-02,2025-10-21,1,1,active,Basic
hydrogenjobs.com,2011-01-19,2026-05-04,1,1,active,Basic
hydrogenlogic.com,2011-01-05,2026-02-10,1,1,active,Basic
hydrogenmarket.com,2011-01-05,2026-04-19,1,1,active,Basic
hydrogenow.com,2016-07-02,2025-10-04,1,1,active,Basic
hydrogenquest.com,2009-01-04,2026-04-04,1,1,active,Basic
hydrogentechnology.info,2011-01-18,2026-01-08,1,1,active,Basic
hydrogentechnology.net,2011-01-05,2026-05-24,1,1,active,Basic
hyperbuys.com,2006-02-13,2025-09-01,1,1,active,Basic
hyperconnected.com,2006-02-13,2025-08-30,1,1,active,Basic
hypererotic.com,2007-03-24,2025-12-23,1,1,active,Basic
hyperlinkdesign.com,2006-02-13,2025-08-21,1,1,active,Basic
hypersonic.com,2001-11-25,2026-01-09,1,1,active,Basic
i-pad.com,2001-08-14,2025-11-18,1,1,active,Basic
ibots.net,2001-11-25,2026-01-02,1,1,active,Basic
informationsystem.net,2001-08-14,2025-09-26,1,1,active,Basic
informationtech.net,2001-11-25,2026-01-11,1,1,active,Basic
informationtech.org,2001-08-13,2025-09-21,1,1,active,Basic
infotechnology.net,2001-08-14,2025-10-02,1,1,active,Basic
infotecture.net,2002-06-23,2025-06-03,1,1,active,Basic
insearchof.net,2001-09-04,2026-02-28,1,1,active,Basic
interbotics.com,2001-08-14,2025-08-27,1,1,active,Basic
internet-tech.net,2001-09-04,2026-04-17,1,1,active,Basic
internetarchitecture.net,2001-09-04,2026-04-08,1,1,active,Basic
internetdeals.net,2001-09-04,2026-04-04,1,1,active,Basic
internetech.com,2001-09-06,2025-08-08,1,1,active,Basic
internetphones.net,2001-09-04,2026-05-25,1,1,active,Basic
internetporn.net,2001-09-04,2026-02-28,1,1,active,Basic
internetpublishing.net,2001-09-04,2026-04-20,1,1,active,Basic
internetretail.net,2001-11-25,2025-12-12,1,1,active,Basic
internetspace.net,2001-11-25,2025-12-24,1,1,active,Basic
internettec.com,2001-08-14,2025-10-16,1,1,active,Basic
internettech.com,2001-09-04,2025-07-11,1,1,active,Basic
internettechnology.net,2001-09-04,2026-03-22,1,1,active,Basic
internettelephones.com,2001-11-25,2025-12-05,1,1,active,Basic
internettelephones.net,2001-09-04,2026-03-11,1,1,active,Basic
internettelephony.net,2001-09-04,2026-03-27,1,1,active,Basic
internettelephony.org,2001-09-04,2026-05-19,1,1,active,Basic
intramatic.com,2006-02-13,2025-09-17,1,1,active,Basic
iptelephone.com,2001-09-04,2026-04-17,1,1,active,Basic
iptelephone.org,2001-08-14,2025-11-09,1,1,active,Basic
iptelephones.com,2001-11-25,2025-11-30,1,1,active,Basic
iptelephones.net,2001-09-04,2025-07-16,1,1,active,Basic
itnn.com,2005-10-20,2026-04-10,1,1,active,Basic
kathy.info,2004-05-08,2026-01-09,1,1,active,Basic
keynotespeakers.net,2001-09-04,2026-02-28,1,1,active,Basic
kilograms.net,2023-07-30,2026-01-17,1,1,active,Basic
knowledgequest.net,2001-09-04,2026-02-28,1,1,active,Basic
larisas.com,2011-01-20,2026-04-22,1,1,active,Basic
laundryroom.org,2023-07-30,2026-01-14,1,1,active,Basic
laytongolding.com,2017-01-03,2026-01-03,1,1,active,Basic
laytons.info,2006-02-15,2026-02-15,1,1,active,Basic
laytons.org,2008-12-26,2025-12-26,1,1,active,Basic
lendingquest.com,2009-01-04,2025-12-29,1,1,active,Basic
lendquest.com,2018-05-03,2026-02-12,1,1,active,Basic
lesbifriends.com,2011-01-05,2026-02-12,1,1,active,Basic
lgolding.com,2006-02-15,2026-02-15,1,1,active,Basic
liquidhydrogen.net,2018-05-03,2025-06-30,1,1,active,Basic
lotto-tickets.com,2003-02-04,2026-03-23,1,1,active,Basic
lottoforlife.com,2006-02-13,2025-07-26,1,1,active,Basic
luigimangione.net,2024-12-09,2025-12-09,1,1,active,Host-100MB
maidworks.com,2006-02-13,2025-10-20,1,1,active,Basic
makelovetome.net,2001-09-04,2026-02-04,1,1,active,Basic
manhug.com,2011-01-18,2026-01-24,1,1,active,Basic
maptronic.com,2009-11-13,2026-01-21,1,1,active,Basic
massier.com,2009-11-14,2025-06-04,1,1,active,Basic
medgetables.com,2001-11-25,2025-12-13,1,1,active,Basic
medicur.com,2007-01-15,2026-01-21,1,1,active,Basic
microbotics.net,2001-09-04,2025-07-16,1,1,active,Basic
microchips.net,2001-11-25,2025-11-30,1,1,active,Basic
microdisplays.net,2002-04-26,2026-04-26,1,1,active,Basic
microfuelcell.net,2001-08-13,2025-11-06,1,1,active,Basic
microfuelcells.net,2002-04-26,2026-04-26,1,1,active,Basic
micromechanics.net,2001-09-04,2026-05-25,1,1,active,Basic
millenniumbug.net,2001-09-04,2026-04-03,1,1,active,Basic
millimetre.net,2023-08-29,2026-02-07,1,1,active,Basic
minibots.net,2025-01-03,2026-01-03,1,1,active,Basic
minifuelcell.net,2001-08-13,2025-11-06,1,1,active,Basic
mobilearch.com,2007-01-15,2025-11-04,1,1,active,Basic
mobilequest.net,2009-11-14,2025-06-01,1,1,active,Basic
mobiletechnologies.net,2001-11-25,2025-12-13,1,1,active,Basic
mobiletechnologies.org,2008-10-26,2025-10-26,1,1,active,Basic
molectricity.com,2001-09-04,2026-03-04,1,1,active,Basic
molectricity.net,2001-09-04,2026-03-04,1,1,active,Basic
molectronic.com,2001-09-04,2025-07-16,1,1,active,Basic
molectronic.net,2001-09-04,2025-07-16,1,1,active,Basic
molectronic.org,2002-01-17,2026-02-04,1,1,active,Basic
molectronics.net,2001-09-04,2026-02-04,1,1,active,Basic
molectronics.org,2001-09-04,2025-07-16,1,1,active,Basic
molecular-computing.com,2001-09-04,2026-04-22,1,1,active,Basic
molecular-computing.net,2001-09-04,2026-04-22,1,1,active,Basic
molecularcomputer.net,2002-03-10,2026-03-10,1,1,active,Basic
molecularcomputers.net,2002-03-10,2026-03-10,1,1,active,Basic
molecularcomputers.org,2001-09-04,2025-07-16,1,1,active,Basic
molecularcomputing.net,2001-09-04,2025-07-16,1,1,active,Basic
moltronics.com,2002-04-16,2026-04-16,1,1,active,Basic
moltronics.net,2002-01-31,2026-02-16,1,1,active,Basic
mp3x.net,2001-09-04,2026-04-17,1,1,active,Basic
multimediatech.com,2001-11-25,2025-12-14,1,1,active,Basic
multimediatechnology.com,2001-11-25,2025-12-14,1,1,active,Basic
myopics.com,2006-02-13,2025-09-20,1,1,active,Basic
nancy.biz,2004-05-08,2026-01-10,1,1,active,Basic
nanoarch.com,2009-11-14,2025-06-28,1,1,active,Basic
nanobike.com,2007-01-22,2025-11-30,1,1,active,Basic
nanobiomics.com,2009-01-04,2025-06-25,1,1,active,Basic
nanobiotic.net,2007-01-15,2025-07-30,1,1,active,Basic
nanobotic.net,2001-09-04,2026-02-28,1,1,active,Basic
nanobotics.com,2001-09-04,2026-03-10,1,1,active,Basic
nanobotics.net,2001-09-04,2026-04-17,1,1,active,Basic
nanobotics.org,2001-11-25,2025-12-02,1,1,active,Basic
nanobots.net,2001-09-04,2026-03-10,1,1,active,Basic
nanocaine.com,2024-08-03,2025-11-06,1,1,active,Basic
nanocet.com,2007-01-15,2026-04-22,1,1,active,Basic
nanochips.net,2002-04-26,2026-04-26,1,1,active,Basic
nanochips.us,2002-05-20,2026-05-19,1,0,active,Basic
nanoclean.com,2009-11-13,2026-03-11,1,1,active,Basic
nanoclick.com,2007-01-15,2026-01-09,1,1,active,Basic
nanocoater.com,2005-10-20,2025-06-25,1,1,active,Basic
nanocomputer.net,2001-11-25,2025-12-02,1,1,active,Basic
nanocomputers.net,2001-11-25,2025-12-02,1,1,active,Basic
nanocomputing.net,2001-08-14,2025-11-09,1,1,active,Basic
nanocomputing.org,2001-06-23,2025-06-23,1,1,active,Basic
nanocrafts.com,2011-01-05,2025-07-23,1,1,active,Basic
nanocrystals.net,2009-01-10,2026-02-28,1,1,active,Basic
nanocyte.com,2009-11-14,2026-04-26,1,1,active,Basic
nanodiodes.com,2007-01-15,2025-10-05,1,1,active,Basic
nanodots.net,2007-01-15,2025-06-02,1,1,active,Basic
nanodyne.com,2005-10-20,2026-04-30,1,1,active,Basic
nanoeast.com,2011-01-05,2025-07-17,1,1,active,Basic
nanoelectronics.org,2001-06-23,2025-06-23,1,1,active,Basic
nanofacture.com,2007-01-15,2026-05-10,1,1,active,Basic
nanofair.net,2006-02-13,2025-11-01,1,1,active,Basic
nanofarm.com,2007-01-15,2026-05-10,1,1,active,Basic
nanofoam.com,2007-01-15,2026-05-10,1,1,active,Basic
nanofuelcell.net,2002-04-26,2026-04-26,1,1,active,Basic
nanofuelcells.net,2002-04-26,2026-04-26,1,1,active,Basic
nanogoo.com,2006-02-13,2025-10-30,1,1,active,Basic
nanolastic.com,2009-11-14,2026-03-07,1,1,active,Basic
nanologies.com,2007-01-15,2025-09-18,1,1,active,Basic
nanology.net,2001-08-14,2025-11-11,1,1,active,Basic
nanomal.com,2009-11-13,2025-12-08,1,1,active,Basic
nanomate.com,2007-01-15,2026-05-10,1,1,active,Basic
nanomatics.com,2001-09-04,2026-04-28,1,1,active,Basic
nanomatics.net,2001-09-04,2026-02-13,1,1,active,Basic
nanomatics.us,2002-05-20,2026-05-19,1,0,active,Basic
nanomatter.com,2009-01-04,2025-07-09,1,1,active,Basic
nanomed.net,2001-11-25,2025-12-02,1,1,active,Basic
nanomedical.net,2002-04-26,2026-04-26,1,1,active,Basic
nanomotive.com,2009-01-04,2026-03-23,1,1,active,Basic
nanonetics.com,2007-01-15,2026-03-21,1,1,active,Basic
nanonium.com,2007-01-15,2026-03-06,1,1,active,Basic
nanooptic.com,2009-11-13,2026-02-23,1,1,active,Basic
nanooptic.net,2002-04-26,2026-04-26,1,1,active,Basic
nanooptics.net,2001-08-13,2025-11-06,1,1,active,Basic
nanooptics.us,2002-05-20,2026-05-19,1,0,active,Basic
nanophotonics.net,2001-08-14,2025-11-23,1,1,active,Basic
nanopipette.com,2005-10-20,2025-06-22,1,1,active,Basic
nanopipettes.com,2005-10-20,2025-06-22,1,1,active,Basic
nanopool.com,2007-01-15,2026-05-10,1,1,active,Basic
nanoptics.net,2001-06-18,2025-06-18,1,1,active,Basic
nanopurification.com,2011-08-24,2025-07-04,1,1,active,Basic
nanoquest.us,2002-05-20,2026-05-19,1,0,active,Basic
nanorganics.com,2006-02-13,2025-12-22,1,1,active,Basic
nanoscan.net,2007-01-15,2026-02-24,1,1,active,Basic
nanosignal.com,2009-01-04,2026-03-15,1,1,active,Basic
nanosprays.com,2016-07-02,2026-01-25,1,1,active,Basic
nanosurgery.org,2009-11-13,2025-06-30,1,1,active,Basic
nanosynthetics.com,2011-01-05,2025-12-06,1,1,active,Basic
nanotagging.com,2011-01-05,2025-11-08,1,1,active,Basic
nanotechdesigns.com,2007-01-15,2026-04-16,1,1,active,Basic
nanotechexchange.com,2007-01-15,2026-01-12,1,1,active,Basic
nanotechexchange.net,2007-01-15,2026-01-12,1,1,active,Basic
nanotechnologies.net,2001-09-04,2026-03-10,1,1,active,Basic
nanotectonica.com,2009-01-04,2026-04-05,1,1,active,Basic
nanotecture.com,2007-01-15,2025-11-09,1,1,active,Basic
nanoterials.com,2007-01-15,2026-01-31,1,1,active,Basic
nanotesla.com,2009-01-10,2026-02-14,1,1,active,Basic
nanotronics.net,2001-06-23,2025-06-23,1,1,active,Basic
nanoturbines.com,2007-01-15,2026-05-12,1,1,active,Basic
nanovacuum.com,2009-11-13,2026-02-24,1,1,active,Basic
nanowifi.com,2006-02-13,2025-12-23,1,1,active,Basic
nationalweb.net,2001-09-04,2026-03-01,1,1,active,Basic
navitronic.com,2006-02-13,2025-10-23,1,1,active,Basic
net101.net,2001-11-25,2026-01-29,1,1,active,Basic
netbots.net,2001-11-25,2026-01-02,1,1,active,Basic
netcafes.net,2001-11-25,2025-12-25,1,1,active,Basic
netfly.net,2001-08-13,2025-11-06,1,1,active,Basic
netgraphics.net,2001-11-25,2026-01-06,1,1,active,Basic
